Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1qYY9LCkc3cB9lI0bTE954,"Shades","Shades","Laughing Man;Viktor Udvari",2019-05-06,522150,0,false,bvalkin,2019-09-10T10:56:07Z,"dub techno,minimal techno","Berg Audio",0.76,0.637,11,-14.769,0,0.0538,0.00973,0.852,0.0348,0.692,124.999,4
spotify:track:5FI6ez26R7pj8VppyfW1gc,"Glitter","Elements : Mihai Popoviciu","Mihai Popoviciu",2022-06-10,498905,27,false,bvalkin,2023-04-14T13:32:58Z,"dub techno,tech house,minimal techno,deep house","Berg Audio",0.809,0.753,11,-12.315,1,0.0587,0.00101,0.905,0.0586,0.96,127.004,4
spotify:track:1pv8qLntCowkgWgyNYqOap,"Md","Top Secret","Micronica",2022-03-04,471457,23,false,bvalkin,2022-05-21T14:39:48Z,"minimal techno,dub techno","Micronica Records",0.793,0.605,2,-12.493,1,0.0431,0.0131,0.9,0.099,0.0957,124.007,4
spotify:track:6xhnv7MpF5nj19vILJpbNi,"Artefacts","Pale Blue EP","Diego Krause",2018-11-19,420952,0,false,bvalkin,2019-09-01T08:10:49Z,"minimal techno,dub techno","Rawax",0.81,0.759,1,-11.211,1,0.0603,0.0000601,0.903,0.106,0.711,126.001,4
spotify:track:17t97eG3rOrfJbiDXoybXS,"Closer","Closer to Distance","Malini;Mikhu;Lorik",2017-12-25,503232,0,false,bvalkin,2021-12-19T15:42:45Z,"minimal techno","Studio 405",0.811,0.666,9,-10.749,0,0.0556,0.0348,0.93,0.107,0.233,124.005,4
spotify:track:5hBG6WZWicRoD95sT91tdj,"Crawling","Disk 12","DiSKOP",2018-12-28,480015,20,false,bvalkin,2023-08-27T09:23:09Z,"acid techno,breakbeat,acid house,minimal techno","WHITELOOPS",0.857,0.395,10,-11.668,0,0.176,0.00135,0.918,0.0375,0.313,124.976,4
spotify:track:4suI15mC4jmxFAlIr9FHU3,"Trombon","Trombon EP","Techu",2023-01-11,468480,19,false,bvalkin,2023-03-09T16:16:16Z,"minimal techno,dub techno","1309866 Records DK",0.808,0.686,2,-9.801,1,0.0468,0.0118,0.877,0.0823,0.279,125.001,4
spotify:track:5tcj3ikm90N07mqQGXC2vu,"At Seventeen","""Construction Tools"", Vol, I,II & III","iO (Mulen)",2019-12-16,432573,0,false,bvalkin,2020-07-19T10:28:45Z,"minimal techno,dub techno","Berg Audio",0.804,0.904,10,-9.738,0,0.104,0.00212,0.909,0.0617,0.236,128.994,4
spotify:track:3EGRoaXanHo1rs7r1k5D6e,"Mirror","Mirror (Including Anas M & Komey Remixes)","Sergey Grit",2022-02-25,433920,17,false,bvalkin,2022-06-18T18:20:03Z,"minimal techno","Worst Date Records",0.81,0.497,7,-13.646,1,0.0607,0.00384,0.877,0.101,0.397,125.024,4
spotify:track:0H5nCdFU9lRXxVJhngPY7W,"Solstice","Disk 08","DiSKOP",2018-11-30,472916,18,false,bvalkin,2023-01-15T12:48:54Z,"acid techno,breakbeat,acid house,minimal techno","WHITELOOPS",0.812,0.675,0,-11.885,1,0.0653,0.000174,0.961,0.104,0.366,125.985,4
