Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wacENboFfYix4xV1sEPgY,"U Found Out - Tony De Vit Edit","U Found Out","Handbaggers;Tony De Vit",1996-09-23,221121,30,false,1143978511,2023-06-30T12:58:19Z,"hard house,trance,hi-nrg","Glamzoo",0.667,0.961,6,-5.546,1,0.0321,0.000717,0.715,0.034,0.804,140.024,4
spotify:track:4iqtDvbICWuBERMTz9cz41,"Call Me","Call Me","Marlon Hoffstadt;DJ Daddy Trance",2023-05-19,139000,55,false,1143978511,2023-06-30T12:58:32Z,"hard house,eurodance,trance,techno,hypertechno","Method 808, distributed by gamma.",0.608,0.995,2,-6.785,1,0.0406,0.00422,0.779,0.0823,0.96,144.951,4
spotify:track:2YlrFLQMDvkvnAlyS94zo8,"It's That Time","It's That Time","Marlon Hoffstadt",2023-04-21,240250,0,false,1143978511,2023-06-30T12:58:37Z,"hard house,eurodance,trance,techno","Midnight Themes",0.724,0.965,0,-6.195,1,0.0497,0.0000575,0.859,0.705,0.753,147.023,4
spotify:track:6kRkuYofJ3xkXDOmSDBgtc,"Memories of You","Løvehjerte","MRD;TDJ",2023-05-12,432394,0,false,jannick023,2023-06-30T13:08:33Z,"hard techno,techno,acid techno,hard house,trance,eurodance","Live From Earth",0.533,0.987,4,-7.138,1,0.0495,0.000209,0.806,0.0408,0.426,155.024,4
spotify:track:2jD9uQeNEPIqFEJmJ33zuk,"Make It Thru","Make It Thru","Narciss",2023-04-28,221750,36,false,jannick023,2023-06-30T13:08:46Z,"hard house,eurodance,trance,techno,hypertechno","recordJet",0.729,0.941,10,-9.03,0,0.0455,0.0000437,0.833,0.106,0.429,143.01,4
spotify:track:5nco217a47zpt7DZFj4IgJ,"Get Into The Music - Goodfellos Full Club Remix","Get Into The Music","DJ's Rule",1996,554701,18,false,jannick023,2023-06-30T13:08:59Z,"hard house,acid house","Hi-Bias Records Inc.",0.625,0.979,1,-6.606,0,0.0443,0.0171,0.0175,0.0919,0.122,135.849,4
spotify:track:3eNk5ZYvXmTs4i4MrM1NtU,"Bailando 2023 - Extended","Bailando 2023","X-COAST",2023-03-17,334689,23,false,jannick023,2023-06-30T13:09:06Z,"hard house,lo-fi house","Higher Ground",0.642,0.977,8,-4.948,0,0.0301,0.00303,0.388,0.101,0.672,134.013,4
spotify:track:7xJT1Sge4iqzoclKg8FIDx,"Midsommar","Midsommar","MRD;Narciss",2023-02-21,275200,0,false,jannick023,2023-06-30T13:09:30Z,"hard techno,techno,acid techno,hard house,eurodance,trance,hypertechno","Live From Earth Klub",0.441,0.976,11,-6.261,0,0.0949,0.00124,0.361,0.241,0.381,75.014,4
spotify:track:2FSqCe7FJvmFit3u1UXVHf,"Techno Installation","Techno Installation","Marlon Hoffstadt",2022-08-26,408000,29,false,jannick023,2023-06-30T13:10:01Z,"hard house,eurodance,trance,techno","Midnight Themes",0.654,0.992,9,-8.151,1,0.0582,0.0000122,0.844,0.512,0.71,152.017,4
spotify:track:1dYSXqkuZCgdiR3q1lw6tA,"What Trance Feels Like","The Midnight Club GT","Funk Tribu",2021-10-21,395278,0,false,jannick023,2023-06-30T13:10:09Z,"hard house,techno,phonk,hard techno,trance","A Million / Groove Attack",0.73,0.709,0,-10.077,1,0.0712,0.0118,0.872,0.442,0.652,158.037,4
spotify:track:0byOogLwoH1ujxBMaFMMBA,"Melodrama - Original Mix","Last Exit Trance","Nostrum",2012-01-01,425133,0,false,jannick023,2023-06-30T13:10:26Z,"trance,acid techno,acid house","Last Exit Trance",0.709,0.583,6,-9.603,0,0.0626,0.00301,0.916,0.0984,0.393,139.995,4
