Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7lOWnzFtxRsPYpzeCG8OuS,"Me & U","Me & U","Tre Reynolds",2024-09-27,144383,30,true,,1970-01-01T00:00:00Z,"tech house","Nothing Else Matters",0.826,0.781,8,-8.01,1,0.0554,0.00216,0.109,0.0749,0.822,128.015,4
spotify:track:0iL9p2KJKbPD5RtfFZOtdm,"NASA","PINK SUMMER","Frenna",2024-07-19,144675,51,false,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.912,0.61,10,-4.812,0,0.157,0.0141,0.0273,0.0739,0.524,107.027,4
spotify:track:2bN6txFfJ3RJiQfsyB7gxe,"Salt Lake City","Salt Lake City","LIGHTLEAK",2024-12-13,151771,25,false,,1970-01-01T00:00:00Z,"tech house","Euro Electra Records",0.799,0.734,5,-9.658,0,0.0483,0.0202,0.453,0.0871,0.79,126.988,4
spotify:track:0DOZvF33lmAwocqif4wEaA,"Aspire to Inspire","Aspire to Inspire","Hidde van Wee",2025-05-09,381073,40,false,,1970-01-01T00:00:00Z,"","Up the Stuss",0.743,0.941,5,-9.013,0,0.0656,0.0122,0.896,0.0434,0.83,130.995,4
spotify:track:0tox9lXe3hdarVUIwUhP5V,"Blijkbaar (met Kaya Imani)","Nachten Als Dit","Idaly;Kaya Imani",2023-09-28,141852,39,false,,1970-01-01T00:00:00Z,"maluku","Top Notch Music BV",0.812,0.609,3,-7.694,0,0.186,0.632,0.000675,0.103,0.366,110.005,4
spotify:track:6VfL3MEuYeJbDlD8m011HR,"quédate","BORONDO","Beéle",2025-05-15,176481,84,false,,1970-01-01T00:00:00Z,"latin afrobeats,reggaeton,pop urbano","5020 Records",0.608,0.633,0,-4.609,0,0.137,0.294,0.0000204,0.143,0.549,111.888,5
spotify:track:2PNXJZRZCykCzN4vWXLa0y,"Ups Baby","Ups Baby","Janis Zielinski;Jonas Gottlieb",2025-01-24,178881,47,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,hypertechno","FUTURE TRANCE",0.526,0.986,11,-5.288,1,0.0507,0.0778,0.0657,0.0847,0.564,145.939,4
spotify:track:2z0aTFF696oXVdN1sfzKi7,"Still Need U","In Your Arms","DJ HEARTSTRING",2024-02-16,198098,38,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,hypertechno","Teenage Dreams",0.684,0.988,3,-4.225,0,0.0392,0.0000804,0.866,0.0937,0.773,146.983,4
spotify:track:7JI4W4fvPwzoPGcRSKYeHw,"Check One","Falling Back","Obskür",2024-11-29,218507,55,false,,1970-01-01T00:00:00Z,"rally house,house","Eastenderz",0.753,0.707,5,-11.576,1,0.0495,0.0927,0.622,0.121,0.488,134.024,4
spotify:track:4PFkJXTUZVEsKIZ01n4rev,"Call Me Babe","Call Me Babe","mischluft",2024-11-29,164121,61,false,,1970-01-01T00:00:00Z,"hard house,bounce,techno,trance,hypertechno,eurodance","Intercord",0.735,0.989,8,-5.348,1,0.0575,0.000605,0.381,0.112,0.548,152.991,4
spotify:track:5ieqvcZfycFIMJnF84D1Du,"still prevail","One of Wun","Gunna",2024-05-10,192000,69,true,,1970-01-01T00:00:00Z,"melodic rap","300 Entertainment",0.897,0.462,2,-6.058,1,0.0873,0.0106,0.00548,0.112,0.089,139.996,4
spotify:track:3dmCMsu4EvIKhExHIjiRBp,"Nutralize","Closer","Gaskin",2024-10-04,365458,31,false,,1970-01-01T00:00:00Z,"house","Up the Stuss",0.704,0.874,7,-9.213,1,0.0422,0.018,0.854,0.0931,0.382,132.006,4
spotify:track:68B0LDiQ4u0JPuzmF7Ra7i,"Superstyler - Burnski x Kepler Remix","Superstyler","Gaskin;Burnski;Kepler.",2025-01-31,324492,16,false,,1970-01-01T00:00:00Z,"house,dub techno,tech house,uk garage","Constant Sound",0.794,0.877,1,-9.156,1,0.0438,0.00896,0.914,0.0904,0.961,131.01,4
spotify:track:4jjKhNsWl7KVnLb89A1guj,"Painless Love","Painless Love","SOSA",2025-05-23,183206,47,false,,1970-01-01T00:00:00Z,"tech house,house","Three Six Zero Recordings",0.723,0.856,5,-9.175,0,0.0429,0.0202,0.0478,0.0919,0.72,130.992,4
spotify:track:6YnMiAJNZtqKwYgwrKSkwt,"Sakura","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,384007,60,false,,1970-01-01T00:00:00Z,"house,tech house","Up the Stuss",0.688,0.774,11,-9.533,0,0.0431,0.0446,0.897,0.112,0.28,129.995,4
spotify:track:2usgKLp2V6HTqOXh9rlETr,"SOS","SOS","Kevin;Idaly",2024-12-05,185532,58,false,,1970-01-01T00:00:00Z,"","Animal Stories / Noah’s Ark BV",0.791,0.617,11,-7.329,0,0.218,0.0614,0.0002,0.099,0.437,73.432,4
spotify:track:0washXlWqFEj5oCjNWwA2E,"Hooked on You","Hooked","Kolter",2020-05-29,383612,44,false,,1970-01-01T00:00:00Z,"house,tech house,lo-fi house","Shall Not Fade",0.855,0.865,8,-7.493,0,0.0828,0.11,0.658,0.0651,0.781,130.992,4
spotify:track:1x9SzB3cLpNsykCO5Y2BfR,"Alone Again","Alone Again","DJ HEARTSTRING;SWIM",2024-11-29,226958,38,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,hypertechno,stutter house","DJ HEARTSTRING",0.628,0.947,9,-5.066,1,0.0517,0.000738,0.862,0.0539,0.806,144.969,4
spotify:track:2QJwMBAnrB6HDsS4dhTaNT,"It's About Us","It's About Us","Chris Stussy",2025-01-31,232790,49,false,,1970-01-01T00:00:00Z,"house,tech house","CSS",0.557,0.934,11,-7.142,0,0.0357,0.000683,0.778,0.476,0.307,133.032,4
spotify:track:1cSjOrZhdPvl9gxp86SqQi,"Amazin' (met Emms)","Betty","Idaly;Emms",2023-01-26,174013,52,true,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.867,0.695,8,-4.495,1,0.0726,0.0501,0.00181,0.091,0.762,100.022,4
spotify:track:5D50iIozof7VABnwls2H13,"Voorzichtig","Voorzichtig","Zoë Tauran;Idaly",2025-02-14,143015,49,true,,1970-01-01T00:00:00Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.904,0.705,11,-5.425,0,0.215,0.282,0,0.105,0.641,125.026,4
spotify:track:1eroCliWpJrEu1V7VSObcO,"Circadian Rhythm","100 GIGS","Drake",2024-08-30,126356,75,true,,1970-01-01T00:00:00Z,"rap","OVO/Republic",0.694,0.574,1,-6.144,0,0.0483,0.193,0,0.082,0.286,146.007,4
spotify:track:0dT0g3uNGWwSzvVvszdVd4,"PRETTY GIRLS","PINK SUMMER","Frenna",2024-07-19,145354,58,false,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.64,0.626,1,-5.189,1,0.0859,0.0385,0,0.129,0.673,187.805,4
spotify:track:6Vd1DMK1agDDFoAJyvSSaI,"Falling Back","Falling Back","Obskür",2024-11-29,210680,51,false,,1970-01-01T00:00:00Z,"rally house,house","Eastenderz",0.699,0.798,1,-12.976,1,0.0439,0.192,0.939,0.108,0.188,133.955,4
spotify:track:6iOndD4OFo7GkaDypWQIou,"La Plena - W Sound 05","La Plena (W Sound 05)","W Sound;Beéle;Ovy On The Drums",2025-02-19,150001,89,true,,1970-01-01T00:00:00Z,"latin afrobeats,reggaeton,pop urbano","WEA Latina",0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
spotify:track:7eRUJsRGaDXf25akA9pHkj,"PAPARAZZI","PINK SUMMER","Frenna",2024-07-19,147226,0,false,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.744,0.663,4,-5.265,0,0.249,0.0672,0.0000135,0.292,0.527,196.005,4
spotify:track:1GHh01GXmueglhP5jbZuJJ,"ibiza2024","ibiza2024","t e s t p r e s s",2024-08-23,192000,50,false,,1970-01-01T00:00:00Z,"hard house,eurodance,bounce,hypertechno,trance","DopamineWIFI",0.57,0.989,1,-5.939,1,0.0534,0.00421,0.648,0.0939,0.265,76.481,4
spotify:track:7Hzh0sRbSLy7UC9nSfLZjv,"Tic Tac Toe","Tic Tac Toe","Hurts;DJ IP",2025-05-02,186486,11,false,,1970-01-01T00:00:00Z,"hard house,bounce,trance,eurodance","Sweet Nothing",0.81,0.971,4,-4.661,0,0.0584,0.0213,0.832,0.0312,0.836,148.015,4
spotify:track:01jx3vXwUaw9cfFeBk8sJQ,"Supersonic","Supersonic / Hands Up In The Sky","Marlon Hoffstadt;DJ Daddy Trance",2025-05-23,188108,51,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,techno,hypertechno","Capitol Records",0.575,0.937,1,-5.293,0,0.0458,0.00234,0.79,0.0605,0.52,147.997,4
spotify:track:5w4tgGNwU7Iq9kk5o4zoBy,"Drivin' Me Insane","Kinetic Energy","LUKA",2024-08-30,289468,28,false,,1970-01-01T00:00:00Z,"hard house,bounce","Katana",0.706,0.973,0,-5.595,1,0.0576,0.141,0.737,0.0918,0.584,79.993,4
spotify:track:0za7DvMEblA6ZCOPQB17Hj,"Next 2 Me","Next 2 Me","Alt8",2024-11-14,259245,37,false,,1970-01-01T00:00:00Z,"hard techno,techno,acid techno","Alt8 Records",0.675,0.91,0,-4.63,0,0.0491,0.00288,0.687,0.0976,0.517,155.035,4
spotify:track:3zGcP713ZPe6OYGlOWYpKu,"Me, Myself & That Dancefloor","Me, Myself & That Dancefloor EP","Gaskin",2024-12-06,206278,41,false,,1970-01-01T00:00:00Z,"house","Nothing Else Matters",0.675,0.976,2,-5.768,1,0.04,0.0313,0.308,0.186,0.76,134.992,4
spotify:track:3s4WNh0WnfhwvIlrp6RTBj,"ZAAZAA","ZAAZAA","Frenna;Shallipopi",2025-05-22,156080,63,false,,1970-01-01T00:00:00Z,"afrobeats,afrobeat,afropiano,amapiano,afropop,afro adura","777 Records BV / Top Notch Music BV",0.868,0.731,11,-5.949,0,0.0793,0.0744,0.112,0.0808,0.785,117.016,4
spotify:track:7nFkuKdjETGOdIZDBL78ou,"MARADONA","PINK SUMMER","Frenna",2024-07-19,145363,0,false,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.873,0.715,6,-5.534,0,0.118,0.00498,0.000369,0.13,0.526,109.979,4
spotify:track:2MNZoKTpk2jYMIjTKihdaH,"Want My Love","Want My Love","MALUGI;WOLTERS",2025-01-17,198750,52,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,uk garage","Columbia/Club Heart Broken",0.495,0.962,4,-4.192,0,0.0372,0.000166,0.351,0.252,0.214,144.044,4
spotify:track:7GDEIrIOGdE5AkQfuk1FA3,"I Surrender - Remix","I Surrender (Remix)","Joshua Robbie;Lange Frans",2024-12-06,213040,53,false,,1970-01-01T00:00:00Z,"hollands,nederpop","One Seven Music",0.872,0.814,11,-5.419,0,0.153,0.304,0.0147,0.0932,0.506,128.102,4
spotify:track:6IJXIYexhKZHKbYYPleAUT,"This Rhythm (feat. RAHH)","This Rhythm (feat. RAHH)","Prospa;RAHH",2024-11-08,189960,1,false,,1970-01-01T00:00:00Z,"house","CircoLoco Records",0.928,0.712,10,-5.694,0,0.0582,0.0984,0.000035,0.0995,0.667,127.006,4
spotify:track:47tS35fPyJjIHLk95OBeHc,"Dansvloerkiller","Dansvloerkiller","Broederliefde",2024-11-07,188160,50,true,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.843,0.737,1,-6.166,1,0.234,0.166,0.00000995,0.0796,0.745,125.054,4
