TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.023219955,-545.476,-22.457,4.82396,2.22939,6.69926,2.99497,3.19301,2.91725,4.474,1.3408,-0.591857,0.289269,1.08774,0.208463,0.788055,0.291054,-0.224264,-0.663381,-1.97902,-3.25038,-0.295166
0.046439909,-529.04,-15.449,8.15798,2.34929,5.32904,2.25967,2.63626,3.80159,6.34059,4.38017,1.99127,0.786254,0.186848,1.58146,1.80404,0.505218,-0.466505,-1.03522,-1.91887,-1.58293,-1.48165
0.069659864,-521.08,-14.8486,10.8533,4.83795,8.40378,2.53946,1.80749,4.66223,6.70349,3.25493,2.03754,-0.0991561,-1.41628,-0.33223,0.416888,-0.347092,-1.91977,0.231134,0.209967,-1.04779,0.586174
0.092879819,-505.024,-13.9148,8.83013,5.24267,6.12831,4.92327,6.11411,4.73938,2.82027,2.21313,2.62328,-0.854094,0.599948,1.9302,1.11711,-0.985681,-1.30749,-0.28251,-2.45316,-3.54499,-0.586256
0.116099773,-498.844,-14.4485,9.97752,5.63504,8.31464,5.67221,1.67056,2.19271,0.886248,1.46327,2.89751,2.61025,0.937602,-0.742649,-1.12221,-0.702695,-0.138461,1.6448,1.1078,-0.249393,-1.09246
0.139319728,-159.937,12.3647,2.89701,-1.31565,-6.62399,-3.51363,-2.18954,0.77894,-8.28736,-1.73498,-10.1519,2.20619,-4.8667,-0.522295,-2.59876,-1.38051,-1.60276,0.673511,-0.813555,-3.33168,-0.956746
0.162539683,-173.021,17.7679,15.0478,-0.438724,-1.3943,6.91172,3.58518,0.903129,-1.50017,1.90683,-2.15295,1.04824,-3.15267,-3.5703,-3.5001,-2.82827,-1.92994,-1.30107,-4.63073,-2.4962,-2.0607
0.185759637,-197.197,26.6199,11.6481,0.922767,-1.24979,7.59603,5.01116,5.16914,4.42373,5.04291,1.5959,4.39335,2.86361,-0.501312,0.0513969,1.88641,1.17364,0.715585,-0.773101,1.23536,-2.03905
0.208979592,-218.781,37.6927,3.01372,-2.73703,-2.70945,14.2205,3.20488,10.0096,5.4002,3.24122,3.03359,8.27843,3.45782,-1.58546,-0.471836,4.40191,1.10513,0.909642,1.13191,3.61995,-0.621448
0.232199546,-227.521,42.9222,-3.14359,-6.56016,4.56573,13.7623,1.38009,9.14237,3.76971,4.19975,2.78157,5.57948,2.2423,0.872777,-0.00599564,6.02065,1.73188,4.16055,1.80677,5.06924,-0.160491
0.255419501,-187.162,1.07858,8.47489,-2.82187,-4.16507,12.2233,10.5315,5.92744,4.35646,5.37629,2.03687,2.73017,2.30875,-0.894241,-0.481155,6.46772,4.22988,3.47606,3.73153,6.3232,0.920768
0.278639456,-199.193,9.35048,5.44762,-4.09051,-4.87615,12.723,6.84662,5.2871,3.9809,2.23563,0.642145,3.87532,0.653761,0.678932,1.46636,6.03348,3.62245,4.45342,4.21624,5.79514,-0.778323
0.301859410,-233.793,21.4618,-11.211,-9.57804,-9.69619,7.62806,-0.565625,8.9947,1.38635,4.5301,4.24937,7.1175,2.84382,4.42229,5.69795,8.395,5.71616,7.39517,5.93011,7.69094,0.785011
0.325079365,-251.114,26.823,-18.8876,-11.6986,-12.2931,5.54712,-4.44876,4.95506,-1.36964,8.12025,3.592,6.42854,2.41389,5.59715,3.00883,11.8783,7.35005,10.0014,5.65244,10.2124,2.12868
0.348299320,-136.018,-27.1853,-6.68848,-0.506459,-10.9255,-2.57861,-6.77351,-1.9122,-5.44019,1.33158,-1.36832,3.82143,-2.01655,1.11221,0.839125,4.25892,2.2606,2.45181,2.05061,2.28076,-0.478243
0.371519274,-142.732,-28.0199,-7.11545,-1.32745,-10.3365,-2.22371,-7.62649,-4.06158,-3.7729,-1.24622,-3.72565,1.21554,-1.16271,1.32223,-1.22685,-1.75101,4.1785,6.29424,6.63517,1.94572,0.0973491
0.394739229,-160.555,-27.1602,-8.58828,-3.08058,-8.73553,-0.951805,-6.78853,-1.92649,-6.37983,-2.56334,-4.24703,-0.490753,-1.45622,-2.25242,-2.89248,0.475567,3.68533,6.50123,7.76776,3.96156,1.83576
0.417959184,-176.4,-26.5941,-9.92969,-6.2287,-10.1693,-5.00363,-6.42731,-2.13978,-5.84265,-3.0591,-5.47474,-1.81128,-3.31102,-1.65654,-3.32941,1.96161,2.87956,5.31323,7.35759,4.72795,2.1606
0.441179138,-193.188,-27.3155,-6.09087,-6.36446,-12.0569,-4.42286,-5.2536,-2.47309,-8.45632,-3.84845,-7.25678,-1.2059,-6.09588,-2.64454,-2.94555,2.94606,-0.667659,3.64713,4.55333,5.08841,1.64545
0.464399093,-181.483,-21.516,-8.7408,-6.88374,-13.684,-9.18231,-9.89592,-5.71504,-8.2124,-3.0671,-3.53297,0.166831,0.966783,2.48118,3.17085,3.60547,5.76052,2.88533,-0.263229,-0.661456,-2.67004
0.487619048,-202.364,-16.9181,-9.25596,-8.0284,-15.7525,-7.474,-8.11665,-5.95539,-7.01368,-1.5395,-1.7807,-2.08164,-2.90214,-2.62719,-2.58369,1.20269,2.64184,3.60009,3.14135,2.85031,1.88214
0.510839002,-212.154,-20.9485,-12.5811,-11.8281,-18.5713,-9.5959,-6.35821,-3.52096,-5.15936,-5.03091,-5.95566,-0.40644,-1.64741,-0.43197,-2.91957,0.14018,0.408115,1.81439,2.89401,3.7768,2.90199
0.534058957,-215.326,-10.7735,-10.1215,-10.9284,-18.9636,-11.5121,-7.56927,-4.89698,-6.81921,-1.48739,-5.83432,-2.46784,-3.64062,-1.35541,-1.13128,-1.47777,0.179146,0.756853,2.46267,3.53473,0.533953
0.557278912,-129.049,10.0385,-3.25158,0.803879,-7.35099,-2.14617,-3.18518,-2.0226,-8.43859,-1.55422,-6.25704,-2.84292,-6.19396,-3.86331,-7.02163,-1.18561,-3.24232,0.495549,-1.50904,-0.731436,-0.510507
0.580498866,-148.644,9.12485,2.61912,7.85096,-0.139357,7.32284,2.64118,4.93107,-0.723389,2.40773,0.648533,0.58695,-3.75085,-0.798988,-2.51447,-1.68768,-1.83542,-1.19161,-2.43034,-0.592143,-4.00544
0.603718821,-163.934,7.694,-7.02647,5.90216,-3.76919,9.76811,4.40051,9.7767,0.684499,6.82324,4.73686,7.4041,1.23303,3.64946,0.00764889,1.34651,0.941833,6.46499,5.44284,3.73713,1.09934
0.626938776,-175.443,15.2943,-4.77758,9.41616,-4.7191,12.0616,3.70021,11.8753,-0.221903,5.40419,2.58697,8.31433,0.792553,2.95791,-1.27065,2.04917,-2.35253,4.00786,0.0517549,5.17587,2.37826
0.650158730,-192.746,19.4731,-8.03499,8.46469,-4.18318,13.1671,5.30733,10.3853,0.133635,3.56649,4.17264,6.81935,1.35706,-0.24951,-1.38348,1.30757,0.94103,5.48501,5.71201,5.59007,0.466254
0.673378685,-189.212,3.37926,1.19663,-1.36828,-4.72746,9.50276,8.73731,6.51571,1.80239,4.35065,5.72953,5.47373,4.13382,1.23499,-0.851857,2.41501,2.80533,6.69923,7.76544,5.28144,2.64659
0.696598639,-204.508,15.9905,-0.00736042,1.05599,-8.37356,6.36699,3.14737,5.14485,1.49567,6.2232,7.87025,7.0769,2.70872,0.81608,0.00195558,3.03501,1.52784,3.06533,4.72053,5.64464,2.76655
0.719818594,-232.763,15.8297,-8.84955,1.75128,-7.58027,7.78667,-1.86556,5.53132,-3.74229,5.00242,-0.510624,5.90279,-1.74521,1.52547,-0.285277,8.20608,5.88889,8.54093,5.4534,7.53133,3.9284
0.743038549,-243.825,21.0998,-11.9128,-2.28571,-10.2096,6.06215,-1.9384,7.04597,-4.27838,4.17364,-2.88927,2.00592,-2.39959,4.19758,-3.36727,2.40452,1.74735,7.18549,5.07949,7.66152,5.52447
0.766258503,-136.315,-29.5033,-8.51095,-2.71612,-9.96265,-5.04739,-6.78625,-2.13997,-4.21482,-0.10825,-0.521659,4.22243,0.478691,1.27267,0.381603,4.20252,2.46625,1.07735,2.51342,3.20253,4.68423
0.789478458,-150.703,-31.3552,-9.94041,-3.03323,-8.97904,-4.21586,-10.556,-5.22173,-6.14988,-2.58032,-1.53385,3.43328,2.02224,1.78209,0.25192,2.27171,4.8519,6.58928,5.0212,3.11742,4.12877
0.812698413,-167.774,-31.9573,-12.1326,-4.93073,-11.1729,-2.51635,-6.31601,-2.4949,-5.62397,-1.41102,-2.34239,2.15665,-0.0793148,0.128993,-0.405557,3.3001,3.71821,5.9886,6.18702,4.03985,4.51468
0.835918367,-188.398,-32.6549,-15.0985,-11.0876,-13.0551,-4.51389,-5.1711,0.639565,-5.15479,-2.06744,-5.22787,0.680415,-0.230793,1.58431,-1.22343,3.77822,2.05031,4.09451,6.00448,3.16463,4.79905
0.859138322,-196.566,-29.4861,-11.1095,-11.8729,-16.3231,-8.05035,-9.42763,-2.91103,-8.35307,-4.19061,-2.29676,4.30126,-0.779703,0.328637,-3.86233,0.204993,0.206466,3.96407,5.28008,5.15009,4.33791
0.882358277,-164.752,-17.7706,-12.3289,-11.2358,-15.487,-6.95822,-12.7182,-9.59061,-10.1833,-4.54696,-2.46618,1.1707,0.965497,1.57538,1.52152,1.41975,2.98014,3.19383,3.6193,4.03866,5.0137
0.905578231,-176.744,-18.7453,-16.0017,-9.43648,-12.915,-5.31496,-12.1874,-7.28779,-9.21674,-4.61661,-3.3118,-0.344724,-2.09108,-1.65266,-0.54063,0.198831,-1.12697,1.69159,3.55241,5.94807,6.10542
0.928798186,-188.145,-16.3152,-17.5831,-10.3042,-15.5788,-8.40784,-12.4762,-7.67267,-7.81831,-4.21883,-5.52003,-1.86983,-4.67474,-0.521385,-2.82735,-1.76545,-0.726194,3.99198,4.78998,3.14307,5.16894
0.952018141,-198.275,-10.7037,-14.616,-8.67745,-13.333,-8.49818,-12.6641,-7.1058,-8.77213,-1.67741,-5.18837,-1.37466,-2.07143,0.38811,-4.59784,-1.5989,-1.28526,4.07529,4.80339,4.46864,4.68588
0.975238095,-153.148,15.1628,7.51055,0.918544,-5.38784,-1.57015,-2.00347,-1.45946,-7.31871,-1.54829,-9.71132,-2.65028,-8.14085,-1.86505,-4.14554,-4.61308,-4.81997,-0.582867,-0.845808,-0.931042,-2.03679
0.998458050,-195.731,16.4648,19.5358,9.24827,2.077,9.47685,2.10783,0.342101,0.751518,2.40311,-1.57347,3.20968,1.48658,-1.1198,-1.75608,-0.690883,-0.717468,-1.47238,-1.94773,-0.821235,-3.90498
1.021678005,-211.57,22.7538,11.5353,10.7117,9.50451,7.80302,-4.64821,2.33718,3.80525,3.86796,3.78299,5.96694,4.63086,3.11243,-2.23079,-2.69498,0.83977,3.03658,2.82993,2.19475,-1.02119
1.044897959,-229.173,36.083,3.3705,10.0921,4.64668,9.51309,-5.34088,7.78304,3.74993,2.91161,4.4035,5.87689,3.69947,2.39164,-0.573187,-1.74109,-0.230027,4.04936,1.12957,3.1991,1.02897
1.068117914,-232.843,27.1055,4.38012,6.34211,2.14105,5.39188,-0.233558,10.0456,4.74134,5.3301,2.16182,6.09539,6.18196,0.45157,-0.0935717,-1.00477,0.616507,1.92012,3.34294,3.14761,3.58476
1.091337868,-194.074,0.834545,14.2467,6.72304,-0.570242,5.72927,-0.241224,1.20525,2.75868,4.69064,3.29842,5.14281,4.51701,2.01061,-0.0692415,1.43931,1.69268,1.98154,2.84976,4.41583,5.39624
1.114557823,-215.948,14.069,5.23332,4.69495,0.871419,6.89688,-6.88699,1.09889,3.83907,3.66188,3.74964,6.17062,3.02125,1.86879,-1.48303,0.331205,1.82968,5.5411,3.75444,7.69076,2.37553
1.137777778,-245.395,27.1006,-5.09632,1.36024,-5.59686,4.22972,-8.75234,1.24821,-0.956196,5.05195,0.0757269,6.07843,-0.018142,2.52654,-2.14325,2.10165,0.736616,8.27911,5.08453,6.53444,3.21878
1.160997732,-245.352,16.1199,1.52115,-6.78136,-11.3688,2.19525,-7.82195,0.455977,-2.05485,2.33048,4.45868,4.37064,2.4155,0.590756,0.411664,5.59649,2.13178,2.73661,5.3491,4.2102,3.6489
1.184217687,-134.488,-26.8291,-5.81155,-0.290383,-7.32616,-0.617295,-5.25868,-2.8842,-6.1758,-1.92099,-3.57962,3.2193,-0.572672,0.517834,-0.482404,0.842168,1.40524,-0.247968,0.146675,1.0001,0.798986
1.207437642,-146.57,-26.0653,-5.52126,-1.03697,-10.0805,-3.54111,-10.1449,-4.10751,-4.96218,-2.64169,-3.74484,2.01128,1.82106,0.0313662,-1.41815,-0.5899,0.781712,0.0914692,1.10261,-1.14144,-1.37662
1.230657596,-165.748,-25.2642,-7.20376,-5.27756,-11.2079,-4.95929,-6.80183,-2.44344,-5.18606,0.643318,0.197961,1.07942,0.500951,-0.960106,-2.47865,-0.697378,0.627163,1.25138,1.61338,0.779191,1.30449
1.253877551,-178.163,-24.493,-7.76694,-4.46929,-10.6996,-5.48043,-7.30746,-5.05175,-5.79246,-1.27729,-2.39125,1.90092,-3.62725,-0.100442,-3.00799,-1.66776,-1.11097,2.24558,3.63764,1.37468,1.69194
1.277097506,-187.923,-21.19,-8.17797,-6.02273,-12.625,-6.05946,-12.6269,-6.30177,-6.98526,-0.893446,-4.3679,-0.548069,-3.98608,-2.73914,-3.02603,-2.34197,-0.434855,2.18077,2.11816,1.76892,2.52645
1.300317460,-190.668,-18.9295,-10.0244,-7.69281,-16.5337,-10.4662,-12.5804,-7.83501,-8.96459,-3.74116,-3.22693,-1.44214,-1.44978,2.48735,0.948179,1.00063,3.69648,3.67752,1.14619,1.36397,1.75884
1.323537415,-208.926,-20.6557,-8.65764,-6.09793,-15.3813,-8.50152,-9.75735,-6.38393,-8.56864,-3.97583,-3.38766,-1.01976,-1.52909,0.933814,-2.38814,1.92764,1.12962,2.75188,1.76963,1.10359,1.76284
1.346757370,-221.263,-16.7709,-6.31737,-7.45195,-17.1038,-11.7842,-8.02934,-10.4307,-10.7953,-0.432814,-1.39821,0.45739,-3.57582,-2.57914,-4.34807,-3.94699,-1.84586,2.47985,1.30628,0.659493,-0.19118
1.369977324,-219.25,-11.399,-10.0937,-8.54047,-15.8156,-9.09616,-5.53923,-6.44974,-7.91934,-2.35955,-5.20483,-1.93796,-4.23495,-2.98796,-3.30642,-1.74938,1.42988,3.92098,1.23833,0.407268,1.26181
1.393197279,-149.521,7.66855,3.03169,6.26002,-0.119605,3.69998,-2.17125,-0.0924959,-1.41265,-0.14603,-4.90779,-2.50138,-4.51954,-4.89303,-5.06818,-5.04317,-4.68702,-1.04545,-1.79729,1.7653,0.257993
1.416417234,-156.516,8.12831,0.0787324,11.7599,3.52969,12.6407,2.0288,4.76965,0.775184,2.12019,-2.42235,0.378463,-2.72994,0.307785,0.185067,1.45657,-0.654423,1.26962,-1.51372,-0.876732,-3.29698
1.439637188,-172.32,6.98581,0.091502,13.0923,1.99505,13.773,6.24777,10.3711,1.60281,2.15982,-0.976641,2.33782,-0.563681,2.42318,0.822251,3.13374,-0.418099,0.93061,-0.844519,1.47078,-0.136992
1.462857143,-189.636,7.62898,-7.26256,13.4982,3.97855,14.7208,6.44295,10.5688,2.61843,3.55839,0.228656,3.75884,0.205847,3.31256,3.63954,4.78622,0.438431,2.74623,-0.403726,-0.23336,-2.79036
